Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF 0805,C_0805_2012Metric,84.576085,-51.442417,45.000000,top
C2,10uF 0805,C_0805_2012Metric,77.900000,-49.100000,135.000000,top
C3,10uF 0805,C_0805_2012Metric,79.375000,-47.625000,135.000000,top
C4,0.1uF 0805,C_0805_2012Metric,80.850000,-46.150000,135.000000,top
C5,22uF 0805,C_0805_2012Metric,90.000000,-45.650000,180.000000,top
C6,22uF 0805,C_0805_2012Metric,90.000000,-43.550000,180.000000,top
L1,2.2uH 10A,L_Sunlord_MWSA0624S,91.600000,-52.000000,0.000000,top
LED1,KW H3L531.TE,KW_H3L531.TE,87.774000,-34.375000,180.000000,top
LED2,KW H3L531.TE,KW_H3L531.TE,87.774000,-39.625000,0.000000,top
LED3,KW H3L531.TE,KW_H3L531.TE,92.224000,-39.625000,0.000000,top
LED4,KW H3L531.TE,KW_H3L531.TE,92.224000,-34.375000,180.000000,top
R1,Value: Value: 10K 0805,R_0805_2012Metric,80.076085,-51.717417,135.000000,top
R2,190mÎ© 2512,R_2512_6332Metric,97.050000,-44.050000,-135.000000,top
SW1,SW_SPST,SW_SPDT_PCM12,72.475000,-37.000000,-90.000000,top
U1,TPS565208,SOT-23-6,82.476085,-49.367417,45.000000,top
